p1_id,p2_id,p1_wins,elo_diff,surface_elo_diff,age_diff,height_diff,recent_win_rate_diff,h2h_winrate_diff,is_clay,is_grass,is_hard,is_indoor,best_of_5,round_code,tourney_level_code,tourney_id,tourney_name,tourney_date,surface,round
GH92,CE77,1,0.0,0.0,-5.971,16.0,0.08827586206896554,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
CG80,C0AU,1,0.0,0.0,1.7439999999999998,3.0,-0.21999999999999997,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
ME82,CE77,1,12.0,12.0,3.6940000000000026,0.0,0.040000000000000036,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
RC91,C0AU,1,12.0,12.0,3.058,11.0,-0.05999999999999994,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
GH92,ME82,1,0.4143005863770668,0.4143005863770668,-9.665000000000003,16.0,0.0482758620689655,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
CG80,RC91,1,0.4143005863770668,0.4143005863770668,-1.314,-8.0,-0.16000000000000003,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
MW75,DC76,1,0.0,0.0,-0.9230000000000018,0.0,-0.047619047619047616,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
RH16,MJ08,1,0.0,0.0,-4.561,0.0,0.26000000000000006,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
M0EJ,DC76,1,12.0,12.0,-4.9559999999999995,0.0,0.3266666666666667,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
BK40,RH16,1,-12.0,-12.0,2.693999999999999,13.0,-0.12,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
M0EJ,MW75,1,-0.4143005863770668,-0.4143005863770668,-4.032999999999998,0.0,0.37428571428571433,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
BK40,MJ08,1,24.414300586377067,24.414300586377067,-1.8670000000000009,13.0,0.14000000000000007,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
KB95,E687,1,0.0,0.0,-2.9890000000000008,3.0,0.11161290322580641,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
N771,DH58,1,0.0,0.0,3.4879999999999995,5.0,-0.10000000000000009,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
E687,R772,1,-12.0,-12.0,-2.3470000000000013,-13.0,0.040000000000000036,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
N771,N409,1,12.0,12.0,-9.221,3.0,0.03833333333333333,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
KB95,R772,1,24.414300586377067,24.414300586377067,-5.336000000000002,-10.0,0.15161290322580645,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
DH58,N409,1,-0.4143005863770668,-0.4143005863770668,-12.709,-2.0,0.13833333333333342,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
O449,S0GD,1,0.0,0.0,9.213000000000001,15.0,-0.14285714285714285,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
L0BV,Z355,1,0.0,0.0,-4.553000000000001,-13.0,-0.10000000000000009,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TD51,M0FH,1,0.0,0.0,2.7300000000000004,5.0,0.0,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
FB98,L0BV,1,-12.0,-12.0,4.030000000000001,11.0,0.14,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
TD51,O449,1,0.0,0.0,-4.515000000000001,-5.0,0.23428571428571432,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
FB98,Z355,1,24.414300586377067,24.414300586377067,-0.5229999999999997,-2.0,0.039999999999999925,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
HH06,S0GR,1,0.0,0.0,4.577000000000002,23.0,-0.15416666666666667,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
W367,BK92,1,0.0,0.0,12.221999999999998,-13.0,-0.37999999999999995,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
S0GR,M0E1,1,-12.0,-12.0,-1.029,-7.0,0.4666666666666667,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
HB71,BK92,1,12.0,12.0,0.34499999999999886,0.0,-0.12,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
HH06,M0E1,1,24.414300586377067,24.414300586377067,3.548000000000002,16.0,0.3125,0.0,0,0,1,0,0,3,2,2023-9900,United Cup,20230102,Hard,RR
